iter	Passed	Remaining
568	1640	1242
569	1643	1239
570	1645	1236
571	1648	1233
572	1650	1229
573	1652	1226
574	1654	1223
575	1658	1220
576	1660	1217
577	1662	1213
578	1664	1210
579	1666	1206
580	1668	1203
581	1671	1200
582	1673	1196
583	1675	1193
584	1677	1190
585	1679	1186
586	1682	1183
587	1684	1180
588	1686	1176
589	1688	1173
590	1690	1169
591	1693	1167
592	1695	1163
593	1697	1160
594	1700	1157
595	1703	1154
596	1705	1151
597	1707	1148
598	1710	1145
599	1712	1141
600	1715	1138
601	1717	1135
602	1720	1132
603	1723	1129
604	1725	1126
605	1727	1123
606	1730	1120
607	1732	1117
608	1737	1115
609	1740	1112
610	1742	1109
611	1744	1106
612	1747	1102
613	1749	1099
614	1751	1096
615	1754	1093
616	1756	1090
617	1759	1087
618	1762	1084
619	1764	1081
620	1766	1078
621	1769	1075
622	1772	1072
623	1776	1070
624	1779	1067
625	1781	1064
626	1784	1061
627	1787	1058
628	1789	1055
629	1791	1052
630	1794	1049
631	1796	1045
632	1799	1043
633	1801	1039
634	1803	1036
635	1806	1033
636	1809	1031
637	1812	1028
638	1814	1025
639	1816	1021
640	1819	1018
641	1821	1016
642	1824	1012
643	1827	1010
644	1830	1007
645	1832	1004
646	1834	1001
647	1837	997
648	1839	994
649	1842	991
650	1844	989
651	1847	985
652	1849	982
653	1851	979
654	1854	976
655	1857	973
656	1859	970
657	1863	968
658	1867	966
659	1871	964
660	1874	961
661	1876	958
662	1878	955
663	1881	952
664	1884	949
665	1887	946
666	1890	943
667	1892	940
668	1895	937
669	1897	934
670	1899	931
671	1902	928
672	1904	925
673	1907	922
674	1909	919
675	1911	916
676	1914	913
677	1916	910
678	1919	907
679	1922	904
680	1925	902
681	1928	899
682	1932	897
683	1935	894
684	1938	891
685	1941	888
686	1944	886
687	1948	883
688	1951	880
689	1954	877
690	1956	874
691	1958	871
692	1961	868
693	1963	865
694	1965	862
695	1968	859
696	1970	856
697	1973	853
698	1975	850
699	1977	847
700	1980	844
701	1982	841
702	1984	838
703	1987	835
704	1989	832
705	1992	829
706	1994	826
707	1996	823
708	1999	820
709	2003	818
710	2007	815
711	2010	813
712	2012	810
713	2015	807
714	2018	804
715	2021	801
716	2024	798
717	2028	796
718	2031	793
719	2035	791
720	2038	788
721	2041	786
722	2045	783
723	2047	780
724	2050	777
725	2054	775
726	2059	773
727	2061	770
728	2065	767
729	2068	765
730	2072	762
731	2075	759
732	2078	757
733	2080	753
734	2082	750
735	2086	748
736	2088	745
737	2091	742
738	2095	740
739	2098	737
740	2102	734
741	2106	732
742	2109	729
743	2112	726
744	2115	724
745	2117	721
746	2122	718
747	2125	716
748	2130	713
749	2133	711
750	2138	708
751	2142	706
752	2145	703
753	2149	701
754	2153	698
755	2156	696
756	2160	693
757	2164	691
758	2167	688
759	2171	685
760	2174	682
761	2176	679
762	2180	677
763	2182	674
764	2186	671
765	2190	669
766	2193	666
767	2197	663
768	2200	661
769	2204	658
770	2207	655
771	2210	652
772	2213	650
773	2217	647
774	2223	645
775	2225	642
776	2229	639
777	2232	637
778	2235	634
779	2239	631
780	2241	628
781	2244	625
782	2247	622
783	2251	620
784	2253	617
785	2257	614
786	2260	611
787	2264	609
788	2268	606
789	2271	603
790	2273	600
791	2276	597
792	2278	594
793	2280	591
794	2282	588
795	2285	585
796	2287	582
797	2290	579
798	2292	576
799	2295	573
800	2298	571
801	2301	568
802	2304	565
803	2306	562
804	2309	559
805	2311	556
806	2314	553
807	2317	550
808	2319	547
809	2323	544
810	2325	542
811	2328	539
812	2331	536
813	2336	533
814	2339	531
815	2342	528
816	2345	525
817	2347	522
818	2351	519
819	2354	516
820	2356	513
821	2359	510
822	2362	508
823	2365	505
824	2367	502
825	2370	499
826	2373	496
827	2376	493
828	2378	490
829	2381	487
830	2384	484
831	2387	482
832	2391	479
833	2395	476
834	2399	474
835	2402	471
836	2405	468
837	2407	465
838	2410	462
839	2413	459
840	2416	456
841	2419	453
842	2421	450
843	2424	448
844	2427	445
845	2429	442
846	2432	439
847	2435	436
848	2438	433
849	2441	430
850	2444	428
851	2447	425
852	2450	422
853	2454	419
854	2457	416
855	2459	413
856	2461	410
857	2465	408
858	2469	405
859	2473	402
860	2475	399
861	2478	396
862	2481	394
863	2485	391
864	2488	388
865	2492	385
866	2494	382
867	2498	379
868	2501	377
869	2504	374
870	2507	371
871	2510	368
872	2513	365
873	2517	362
874	2521	360
875	2525	357
876	2529	354
877	2534	352
878	2536	349
879	2539	346
880	2542	343
881	2546	340
882	2548	337
883	2552	334
884	2557	332
885	2559	329
886	2561	326
887	2563	323
888	2566	320
889	2570	317
890	2574	314
891	2576	311
892	2578	308
893	2580	306
894	2583	303
895	2585	300
896	2587	297
897	2589	294
898	2592	291
899	2594	288
900	2596	285
901	2598	282
902	2601	279
903	2604	276
904	2606	273
905	2608	270
906	2611	267
907	2613	264
908	2615	261
909	2617	258
910	2619	255
911	2622	253
912	2624	250
913	2626	247
914	2629	244
915	2631	241
916	2633	238
917	2636	235
918	2640	232
919	2643	229
920	2646	227
921	2649	224
922	2653	221
923	2656	218
924	2659	215
925	2662	212
926	2665	209
927	2669	207
928	2672	204
929	2675	201
930	2677	198
931	2680	195
932	2682	192
933	2684	189
934	2687	186
935	2690	183
936	2693	181
937	2695	178
938	2698	175
939	2700	172
940	2702	169
941	2705	166
942	2708	163
943	2710	160
944	2713	157
945	2715	154
946	2717	152
947	2719	149
948	2722	146
949	2724	143
950	2727	140
951	2729	137
952	2732	134
953	2735	131
954	2737	128
955	2739	126
956	2742	123
957	2744	120
958	2747	117
959	2750	114
960	2753	111
961	2755	108
962	2758	105
963	2760	103
964	2763	100
965	2766	97
966	2768	94
967	2770	91
968	2774	88
969	2776	85
970	2779	83
971	2781	80
972	2783	77
973	2786	74
974	2788	71
975	2790	68
976	2793	65
977	2796	62
978	2798	60
979	2801	57
980	2803	54
981	2806	51
982	2810	48
983	2812	45
984	2814	42
985	2816	39
986	2818	37
987	2821	34
988	2823	31
989	2825	28
990	2827	25
991	2829	22
992	2832	19
993	2836	17
994	2838	14
995	2841	11
996	2843	8
997	2846	5
998	2848	2
999	2851	0
